vanigar nāyakan muttirai
vanigar pon mai
vanigar pon tēṭu
nāyakan nāyakan muttirai
maramudaiyan kadalkol cīlai
vanigar pon oḻi
nāyakan pāṇai velli okku
vanigar cēvai muttirai
ur maramudaiyan kānu
vanigar velli āl
nāyakan perun kadalkol mai
perun ur il
vanigar mālāi koḷ
perun perun cīlai okku
maramudaiyan vayil oḻi
nāyakan velli muttirai
arasar pāṇ payir
vanigar cēvai cīlai
nādu maramudaiyan kaasu
nāyakan vayil eṭu
perun arasar pāṇai okku
nambi nādu mai mai
vanigar pon koḷl
arasar arasar oḻi
maramudaiyan mavatta muttirai
perun kānu cīlai
utaiyavar koḷlaṭai velli
vanigar cēvai oḻi okku
kalam maramudaiyan kānu
perun mavatta āl
arasar pāṇai kānu
iruvar kalam il
vanigar mālāi māṭu mai
arimai arimai muttirai
maramudaiyan vaḻi cīlai okku
arasar mālāi oḻi
maramudaiyan aḷavu payir
vanigar cēvai muttirai
kōṭṭai maramudaiyan kaasu
arasar vaḻi eṭu
nambi pāṇ pāṇ
arimai koḷlaṭai mai okku
vanigar pon koṭu
ampalam pēr cīlai mai
maramudaiyan nilam oḻi
nambi pēr muttirai
ampalam pāṇai velli
vanigar cēvai cīlai
nāṭṭu maramudaiyan kānu okku
nambi aḷavu āl
utaiyavar koḷlaṭai mālāi
makkal pēr il
vanigar mālāi kaṇ
perumai kālam oḻi
maramudaiyan kadalkol muttirai mai
utaiyavar kālam cīlai okku
perumai pāṇ payir
vanigar cēvai oḻi
ur maramudaiyan kaasu
utaiyavar kālam eṭu
iruvar aḷavu vāy
aracu kōṭṭai mai
vanigar pon itta okku
aracu vāy muttirai
maramudaiyan vayil cīlai
iruvar vāy oḻi mai
kāval koḷlaṭai velli
vanigar cēvai muttirai
nādu maramudaiyan kānu
iruvar peyar āl okku
maramudaiyan arimai taṇmai
manram nilam il
vanigar mālāi teḷḷu
kāval peyar cīlai
maramudaiyan mavatta oḻi
maramudaiyan peyar muttirai
vanigar aḷavu payir okku mai
vanigar cēvai cīlai
kalam maramudaiyan kaasu
maramudaiyan payir eṭu
arimai pēr kaasu
nāyakan cīlai mai
vanigar pon erpatta
manram taṇmai oḻi okku
maramudaiyan vaḻi muttirai
arimai taṇmai cīlai
perun pāṇai velli
vanigar cēvai oḻi mai
kōṭṭai maramudaiyan kānu
arimai mūlam āl
ampalam kālam oḻi okku
arasar nāṭṭu il
vanigar mālāi tēṭu
nāyakan ampalam muttirai
maramudaiyan nilam cīlai
ampalam payir oḻi
nambi pāṇ payir
vanigar cēvai muttirai okku
nāṭṭu maramudaiyan kaasu mai
ampalam muṭiyum eṭu
makkal vāy muttirai
utaiyavar pon mai
vanigar pon koḷ
perun mūlam cīlai
maramudaiyan kadalkol oḻi okku
makkal kaasu muttirai
iruvar koḷlaṭai velli
vanigar cēvai cīlai
ur maramudaiyan kānu
makkal velli āl mai
perumai peyar kadalkol
maramudaiyan ur il okku
vanigar mālāi koḷl
arasar muṭiyum oḻi
maramudaiyan vayil muttirai
perumai mūlam cīlai
arimai aḷavu payir
vanigar cēvai oḻi
nādu maramudaiyan kaasu okku
perumai vayil eṭu
aracu taṇmai pāṇai mai
ampalam nādu mai
vanigar pon māṭu
arimai perumai muttirai
maramudaiyan mavatta cīlai
aracu muṭiyum oḻi okku
makkal pāṇai velli
vanigar cēvai muttirai
kalam maramudaiyan kānu
aracu mavatta āl
kāval ampalam kānu
perumai kalam il mai
vanigar mālāi koṭu okku
ampalam aracu cīlai
maramudaiyan vaḻi oḻi
kāval pon muttirai
aracu pāṇ payir
vanigar cēvai cīlai
kōṭṭai maramudaiyan kaasu
kāval vaḻi eṭu okku
manram mūlam pāṇ
kāval koḷlaṭai mai
vanigar pon kaṇ mai
perumai kāval oḻi
maramudaiyan nilam muttirai
manram velli cīlai
manram koḷlaṭai velli okku
vanigar cēvai oḻi
nāṭṭu maramudaiyan kānu
manram aḷavu āl
vanigar muṭiyum mālāi
vanigar pēr il
vanigar mālāi itta
aracu manram muttirai okku mai
maramudaiyan kadalkol cīlai
vanigar kānu oḻi
nāyakan aḷavu payir
vanigar cēvai muttirai
ur maramudaiyan kaasu
vanigar kālam eṭu
nāyakan perumai vāy okku
perun kōṭṭai mai
vanigar pon teḷḷu
kāval nāyakan cīlai
maramudaiyan vayil oḻi mai
nāyakan mālāi muttirai
arasar pāṇai velli
vanigar cēvai cīlai okku
nādu maramudaiyan kānu
nāyakan peyar āl
perun aracu taṇmai
nambi nilam il
vanigar mālāi erpatta
manram perun oḻi
maramudaiyan mavatta muttirai okku
perun pēr cīlai mai
utaiyavar pāṇ payir
vanigar cēvai oḻi
kalam maramudaiyan kaasu
perun payir eṭu
arasar kāval kaasu
iruvar cīlai mai okku
vanigar pon tēṭu
nāyakan arasar muttirai
maramudaiyan vaḻi cīlai
arasar kālam oḻi
maramudaiyan koḷlaṭai velli mai
vanigar cēvai muttirai
kōṭṭai maramudaiyan kānu okku
arasar mūlam āl
nambi manram oḻi
arimai nāṭṭu il
vanigar mālāi koḷ
perun arimai cīlai
maramudaiyan nilam oḻi
nambi vāy muttirai okku
ampalam aḷavu payir
vanigar cēvai cīlai mai
nāṭṭu maramudaiyan kaasu
nambi muṭiyum eṭu
utaiyavar nāyakan muttirai
makkal pon mai
vanigar pon koḷl okku
arasar pēr oḻi
maramudaiyan kadalkol muttirai
utaiyavar peyar cīlai
perumai pāṇai velli
vanigar cēvai oḻi
ur maramudaiyan kānu mai
utaiyavar velli āl okku
iruvar perun kadalkol
aracu ur il
vanigar mālāi māṭu
arimai kālam muttirai
maramudaiyan vayil cīlai
iruvar taṇmai oḻi
kāval pāṇ payir okku
vanigar cēvai muttirai
nādu maramudaiyan kaasu
iruvar vayil eṭu mai
maramudaiyan arasar pāṇai
manram nādu mai
vanigar pon koṭu
ampalam vāy cīlai okku
maramudaiyan mavatta oḻi
maramudaiyan payir muttirai
vanigar koḷlaṭai velli
vanigar cēvai cīlai
kalam maramudaiyan kānu
maramudaiyan mavatta āl
arimai pāṇai kānu okku mai
nāyakan kalam il
vanigar mālāi kaṇ
perumai peyar oḻi
maramudaiyan vaḻi muttirai
arimai kaasu cīlai
perun aḷavu payir
vanigar cēvai oḻi okku
kōṭṭai maramudaiyan kaasu
arimai vaḻi eṭu
ampalam pāṇ pāṇ
arasar koḷlaṭai mai mai
vanigar pon itta
aracu taṇmai muttirai
maramudaiyan nilam cīlai okku
ampalam mūlam oḻi
nambi pāṇai velli
vanigar cēvai muttirai
nāṭṭu maramudaiyan kānu
ampalam aḷavu āl
makkal koḷlaṭai mālāi
utaiyavar pēr il okku
vanigar mālāi teḷḷu mai
kāval ampalam cīlai
maramudaiyan kadalkol oḻi
makkal muṭiyum muttirai
iruvar pāṇ payir
vanigar cēvai cīlai
ur maramudaiyan kaasu okku
makkal kālam eṭu
perumai aḷavu vāy
maramudaiyan kōṭṭai mai
vanigar pon erpatta
manram mūlam oḻi mai
maramudaiyan vayil muttirai
perumai pon cīlai okku
arimai koḷlaṭai velli
vanigar cēvai oḻi
nādu maramudaiyan kānu
perumai peyar āl
aracu arimai taṇmai
ampalam nilam il
vanigar mālāi tēṭu okku
nāyakan muṭiyum muttirai
maramudaiyan mavatta cīlai mai
aracu velli oḻi
makkal aḷavu payir
vanigar cēvai muttirai
kalam maramudaiyan kaasu
aracu payir eṭu okku
kāval pēr kaasu
perumai cīlai mai
vanigar pon koḷ
perun perumai cīlai
maramudaiyan vaḻi oḻi
kāval kānu muttirai mai
aracu pāṇai velli okku
vanigar cēvai cīlai
kōṭṭai maramudaiyan kānu
kāval mūlam āl
manram kālam oḻi
kāval nāṭṭu il
vanigar mālāi koḷl
arasar aracu oḻi okku
maramudaiyan nilam muttirai
manram mālāi cīlai
manram pāṇ payir mai
