1,1,5,4,6,0
15,2,20,5,41,8
2,3,21,2,35,1
4,4,44,5,27,6
7,7,5,3,11,0
12,8,13,4,28,6
17,9,19,7,14,2
18,0,23,5,39,1
30,1,25,8,50,4
31,9,3,1,20,5
1,1,16,0,36,2
15,2,27,8,25,4
2,3,5,4,29,6
4,4,48,0,43,5
7,7,12,2,45,4
9,1,10,3,11,0
16,0,17,5,40,9
18,0,42,1,50,4
30,1,47,8,23,5
33,2,34,3,37,7
1,1,32,5,44,1
15,2,31,9,11,0
2,3,14,2,38,4
4,4,8,0,46,6
7,7,19,7,35,1
12,8,28,6,41,8
17,9,25,8,26,9
18,0,24,1,22,0
30,1,39,5,42,1
43,5,29,6,27,6
1,1,7,7,28,6
15,2,3,1,13,4
2,3,5,4,27,6
4,4,10,3,11,0
7,7,40,9,44,1
9,1,50,4,39,5
16,0,2,3,45,4
18,0,17,5,35,1
30,1,31,9,47,8
33,2,1,1,34,3
1,1,15,2,22,0
32,5,44,1,11,0
2,3,7,7,13,4
4,4,35,1,46,6
7,7,12,2,36,2
12,8,13,4,14,2
17,9,19,7,27,6
18,0,26,9,25,8
30,1,24,1,23,5
38,4,50,4,37,7
1,1,20,5,15,2
15,2,7,7,2,3
2,3,5,4,1,1
4,4,3,1,31,9
7,7,11,0,10,3
12,8,28,6,13,4
17,9,16,0,8,0
18,0,23,5,30,1
30,1,45,4,12,8
33,2,21,2,5,4
1,1,8,0,44,1
15,2,9,1,11,0
2,3,17,5,27,6
4,4,12,2,48,0
7,7,19,7,40,9
9,1,10,3,50,4
16,0,25,8,26,9
18,0,42,1,23,5
30,1,20,5,15,2
43,5,48,0,29,6
1,1,5,4,35,1
15,2,2,3,21,2
2,3,15,2,13,4
4,4,14,2,38,4
7,7,46,6,36,2
12,8,41,8,30,1
17,9,3,1,31,9
18,0,47,8,25,8
30,1,33,2,34,3
43,5,23,5,39,5
1,1,7,7,6,0
15,2,27,6,28,6
2,3,11,0,10,3
4,4,32,5,17,9
7,7,13,4,12,8
9,1,8,0,50,4
16,0,40,9,27,6
18,0,44,1,43,5
30,1,26,9,25,8
33,2,2,3,15,2
1,1,5,4,23,5
15,2,35,1,6,0
2,3,21,2,12,2
4,4,24,1,50,4
7,7,14,2,38,4
12,8,41,8,40,9
17,9,47,8,30,1
18,0,39,5,42,1
30,1,22,0,18,0
43,5,50,4,48,0
1,1,27,6,15,2
15,2,17,9,16,0
2,3,11,0,6,0
4,4,10,3,9,1
7,7,13,4,28,6
9,1,6,0,1,1
16,0,14,2,48,0
18,0,8,0,4,4
30,1,25,8,26,9
33,2,34,3,35,1
1,1,32,5,45,4
15,2,46,6,41,8
2,3,5,4,29,6
4,4,21,2,11,0
7,7,22,0,23,5
12,8,13,4,30,1
17,9,40,9,19,7
18,0,36,2,39,5
30,1,37,7,38,4
43,5,29,6,45,4
1,1,26,9,25,8
15,2,31,9,1,1
2,3,44,1,3,1
4,4,13,4,12,8
7,7,27,6,40,9
9,1,10,3,28,6
16,0,17,9,50,4
18,0,8,0,11,0
30,1,47,8,4,4
